class,name,runs,misses
makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper,makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper@1e2f7529,0,0
makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper,makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper@5b2df888,0,0
makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper,makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper@77240062,0,0
makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper,makamys.coretweaks.optimization.transformercache.lite.CachedTransformerWrapper@6a3ce15f,0,0
